tag           test_name     simulation_duration_myr  total_wall_s  dE_over_E0_mean  dE_over_E0_std  scheduler     cpu_arch      gpu_arch      nodes         ntasks        gpus          timestamp     run_dir       git_commit    git_commit_long  git_branch    git_tag     
baseline      tests/test1                        10       28.3327      3.20665e-05     6.13993e-05  slurm         Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz  NVIDIA A30               1            16             1  20260116_234947  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/baseline_20260116_234947  7e90c74       7e90c74ad5baf8aea2c086a3d43f8ff774785e1b  stable_candidate  7e90c74     
mpi_test      tests/test1                        10       28.0143      1.82796e-05     9.76285e-06  slurm         Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz  NVIDIA A100-PCIE-40GB             1            16             1  20260117_134416  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/mpi_test_20260117_134416  665a8ad       665a8ad18e89c1788f2366f32973b1b7671c80b9  AoS_to_SoA    665a8ad     
phase4        tests/test1                        10       27.9617      2.41778e-05     1.64697e-05  slurm         Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz  NVIDIA A100-PCIE-40GB             1            16             1  20260117_141533  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/phase4_20260117_141533  2b10d70       2b10d70851819c34a86e0b77d93c2f7efb640587  AoS_to_SoA    2b10d70     
run           tests/test2                         1        27.205      3.15687e-07     1.99767e-07  slurm         Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz  NVIDIA A100-PCIE-40GB             1            16             1  20260117_142159  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/run_20260117_142159  2b10d70       2b10d70851819c34a86e0b77d93c2f7efb640587  AoS_to_SoA    2b10d70     
phase5        tests/test1                        10       28.1353      2.63974e-05     1.74171e-05  slurm         Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz  NVIDIA A30               1            16             1  20260117_155523  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/phase5_20260117_155523  c5c0967       c5c096771d3682347ab312e6b827631f2ed17082  AoS_to_SoA    c5c0967     
phase6_io     tests/test1                                                                           local         INTEL(R) XEON(R) PLATINUM 8592+                           1             1             1  20260117_160712  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/phase6_io_20260117_160712  e1c3121       e1c3121f38d9d998f5d11ad8f1a0d1487da57cdc  AoS_to_SoA    e1c3121     
phase6        tests/test1                        10       28.4015      2.51783e-05     1.71954e-05  slurm         Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz  NVIDIA A30               1            16             1  20260117_161449  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/phase6_20260117_161448  b4a6116       b4a6116ba461ec8307bbf24774e34f589c970d33  AoS_to_SoA    b4a6116     
plan5         tests/test4                         1       1138.68     -2.76397e-06     1.08863e-05  slurm         INTEL(R) XEON(R) PLATINUM 8592+  NVIDIA A30               1            16             1  20260117_150804  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/plan5_20260117_150804  b4a6116       b4a6116ba461ec8307bbf24774e34f589c970d33  AoS_to_SoA    b4a6116     
test3         tests/test3                         1       423.545     -1.01894e-05     3.27817e-05  slurm         INTEL(R) XEON(R) PLATINUM 8592+  NVIDIA A100-PCIE-40GB             1            16             1  20260117_142851  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/test3_20260117_142851  b4a6116       b4a6116ba461ec8307bbf24774e34f589c970d33  AoS_to_SoA    b4a6116     
test4         tests/test4                         1       1124.96      6.36628e-07     4.21117e-07  slurm         INTEL(R) XEON(R) PLATINUM 8592+  NVIDIA A30               1            16             1  20260117_143255  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/test4_20260117_143255  b4a6116       b4a6116ba461ec8307bbf24774e34f589c970d33  AoS_to_SoA    b4a6116     
phase6        tests/test4                         1       1187.37     -0.000269349     0.000841999  slurm         Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz  NVIDIA A30               1            16             1  20260117_164153  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/phase6_20260117_164153  b4a6116       b4a6116ba461ec8307bbf24774e34f589c970d33  AoS_to_SoA    b4a6116     
phase6        tests/test4                         1       1133.69     -9.09201e-06     3.06596e-05  slurm         Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz  NVIDIA A30               1            16             1  20260117_170913  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/phase6_20260117_170913  b4a6116       b4a6116ba461ec8307bbf24774e34f589c970d33  AoS_to_SoA    b4a6116     
profiling     tests/test4                       0.2       363.744     -2.01146e-08      2.1075e-07  slurm         Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz  NVIDIA A100-PCIE-40GB             1            16             1  20260119_013613  /gpfs/home/vjl4366/pkg/ABYSS/workflow/runs/profiling_20260119_013613  3fa798d       3fa798de767c40c2dc9de4151be2ce2ef28b53dc  MPI_opt_v2    3fa798d     
